file,type,n,heuristic,cost,runtime_ms,min_edge_weight,max_edge_weight,mean_edge_weight,std_edge_weight,cv_edge_weight,edge_weight_skewness,pct_short_edges,triangle_violation_rate,avg_violation_magnitude,mst_weight,nn_cost_over_mst,optimal_cost,optimality_gap
a280,EUC_2D,280,NN,3157.0,51.0,8.0,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,1.0,2434.0,1.2970419063270338,2579.0,22.41178751454052
a280,EUC_2D,280,Greedy,3089.0,61.0,8.0,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,1.0,2434.0,1.2970419063270338,2579.0,19.77510663047693
a280,EUC_2D,280,Insertion,2982.0,7837.0,8.0,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,1.0,2434.0,1.2970419063270338,2579.0,15.6262117099651
a280,EUC_2D,280,CH,2923.0,3798.0,8.0,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,1.0,2434.0,1.2970419063270338,2579.0,13.338503295851108
att532,EUC_2D,532,NN,35516.0,200.0,1.0,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,24257.0,1.4641546770004534,27686.0,28.281441883984687
att532,EUC_2D,532,Greedy,34002.0,333.0,1.0,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,24257.0,1.4641546770004534,27686.0,22.812974066315107
att532,EUC_2D,532,Insertion,32692.0,29827.0,1.0,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,24257.0,1.4641546770004534,27686.0,18.081340749837462
att532,EUC_2D,532,CH,31219.0,12962.0,1.0,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,24257.0,1.4641546770004534,27686.0,12.760962219172145
att48,EUC_2D,48,NN,12861.0,2.0,42.0,2662.0,1039.210106382979,616.2475736179892,0.5929961321901198,0.6371398978309316,0.100177304964539,0.0,0.0,8767.0,1.466978441884339,10628.0,21.010538200978548
att48,EUC_2D,48,Greedy,12727.0,1.0,42.0,2662.0,1039.210106382979,616.2475736179892,0.5929961321901198,0.6371398978309316,0.100177304964539,0.0,0.0,8767.0,1.466978441884339,10628.0,19.749717726759503
