pipeline,real_gap_mae,oracle_gap_mae,real_gap_rmse,oracle_gap_rmse,real_r2_log,oracle_r2_log,real_coverage,oracle_coverage,real_classifier_accuracy,oracle_classifier_accuracy,mae_delta
RF+Quantile,5.211279744177164,6.294670287683211,9.545683979612681,10.461704145778972,0.9203765186716595,0.8200330779396495,0.90625,0.84375,0.875,0.875,-1.083390543506047
RF+Conformal,16.428987675867706,17.081479611476837,35.49195171868828,35.60985265483357,0.7947889644527922,0.7240046128222188,0.75,0.6875,0.875,0.875,-0.652491935609131
XGB+Quantile,17.951771443793252,12.06904701059732,49.68518231534014,26.772346903161655,0.8579796308456764,0.739567488438852,0.65625,0.5625,0.8125,0.8125,5.882724433195932
XGB+Conformal,47.72524867879801,49.14200783070844,127.31789778357981,127.66209455513199,-0.05221091222063734,-0.40884418863939964,0.78125,0.71875,0.8125,0.8125,-1.4167591519104263
