family,n,mean_feature_overlap,nn_label_match_rate,mean_nn_distance,typical_dataset_nn_distance
gen_A_random,13,1.0,0.07692307692307693,1.8299206064284514,0.30694133660500944
gen_B_clustered,13,0.875,0.07692307692307693,2.1070731762227206,0.30694133660500944
gen_C_chard,29,0.625,0.10344827586206896,2.8275156237243637,0.30694133660500944
TSPLIB,105,0.5416666666666667,0.1619047619047619,2.812575190829578,0.30694133660500944
