pipeline,variant,mae,r2,cov,acc
rf+quantile,with_std,4.305794305497832,0.9349151648166878,0.875,0.875
rf+quantile,without_std,5.211279744177164,0.9203765186716595,0.90625,0.875
rf+conformal,with_std,16.075904899507073,0.7983990627186729,0.8125,0.875
rf+conformal,without_std,16.428987675867706,0.7947889644527921,0.75,0.875
xgb+quantile,with_std,11.805114927270854,0.8414786134102429,0.71875,0.875
xgb+quantile,without_std,17.951771443793252,0.8579796308456764,0.65625,0.8125
xgb+conformal,with_std,47.40317014469713,-0.42663886599494694,0.75,0.875
xgb+conformal,without_std,47.72524867879801,-0.05221091222063734,0.78125,0.8125
