pipeline,mae_pp,rmse_pp,r2_log,coverage,median_width_pp,mean_width_pp,classifier_accuracy,conformal_score
RF+Quantile,5.211279744177164,9.545683979612681,0.9203765186716595,0.90625,17.509860592674045,346.92857290258166,0.875,
RF+Conformal,16.428987675867706,35.49195171868828,0.7947889644527922,0.75,15.894835190974574,50.847704146653555,0.875,0.5335056859239821
XGB+Quantile,17.951771443793252,49.68518231534014,0.8579796308456764,0.65625,14.770381927490234,193.49574279785156,0.8125,
XGB+Conformal,47.72524867879801,127.31789778357981,-0.05221091222063734,0.78125,17.176734924316406,96.99397277832031,0.8125,0.5545590908514387
