file,type,n,heuristic,cost,runtime_ms,min_edge_weight,max_edge_weight,mean_edge_weight,std_edge_weight,cv_edge_weight,edge_weight_skewness,pct_short_edges,triangle_violation_rate,avg_violation_magnitude,mst_weight,nn_cost_over_mst,optimal_cost,optimality_gap
a280,EUC_2D,280,NN,3157.0,51.0,0.06567727588953741,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,0.008209659486192176,0.0713653971049705,1.2970419063270338,2579.0,22.41178751454052
a280,EUC_2D,280,Greedy,3089.0,61.0,0.06567727588953741,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,0.008209659486192176,0.0713653971049705,1.2970419063270338,2579.0,19.77510663047693
a280,EUC_2D,280,Insertion,2982.0,7837.0,0.06567727588953741,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,0.008209659486192176,0.0713653971049705,1.2970419063270338,2579.0,15.6262117099651
a280,EUC_2D,280,CH,2923.0,3798.0,0.06567727588953741,302.0,121.80773169482848,62.617798474080864,0.5140708032472079,0.3368459850023518,0.1004608294930875,0.00128,0.008209659486192176,0.0713653971049705,1.2970419063270338,2579.0,13.338503295851108
att532,EUC_2D,532,NN,35516.0,200.0,0.0010388297537151368,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,0.0473663408568948,1.4641546770004534,27686.0,28.281441883984687
att532,EUC_2D,532,Greedy,34002.0,333.0,0.0010388297537151368,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,0.0473663408568948,1.4641546770004534,27686.0,22.812974066315107
att532,EUC_2D,532,Insertion,32692.0,29827.0,0.0010388297537151368,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,0.0473663408568948,1.4641546770004534,27686.0,18.081340749837462
att532,EUC_2D,532,CH,31219.0,12962.0,0.0010388297537151368,2790.0,962.62163884287,636.0611476519092,0.6607592453630002,0.7747451137216251,0.1000877900967107,0.0,0.0,0.0473663408568948,1.4641546770004534,27686.0,12.760962219172145
att48,EUC_2D,48,NN,12861.0,2.0,0.040415311342749574,2662.0,1039.210106382979,616.2475736179892,0.5929961321901198,0.6371398978309316,0.100177304964539,0.0,0.0,0.175754481419586,1.466978441884339,10628.0,21.010538200978548
att48,EUC_2D,48,Greedy,12727.0,1.0,0.040415311342749574,2662.0,1039.210106382979,616.2475736179892,0.5929961321901198,0.6371398978309316,0.100177304964539,0.0,0.0,0.175754481419586,1.466978441884339,10628.0,19.749717726759503
att48,EUC_2D,48,Insertion,11827.0,20.0,0.040415311342749574,2662.0,1039.210106382979,616.2475736179892,0.5929961321901198,0.6371398978309316,0.100177304964539,0.0,0.0,0.175754481419586,1.466978441884339,10628.0,11.281520511855476
att48,EUC_2D,48,CH,12613.0,35.0,0.040415311342749574,2662.0,1039.210106382979,616.2475736179892,0.5929961321901198,0.6371398978309316,0.100177304964539,0.0,0.0,0.175754481419586,1.466978441884339,10628.0,18.67707941287166
berlin52,EUC_2D,52,NN,8980.0,2.0,0.026075568018689457,1716.0,575.2511312217194,339.858223227572,0.5907997477654333,0.6584443148618263,0.1018099547511312,0.00113,0.0017383712012459637,0.2031888492533263,1.4774596906877262,7542.0,19.06656059400689
berlin52,EUC_2D,52,Greedy,9951.0,1.0,0.026075568018689457,1716.0,575.2511312217194,339.858223227572,0.5907997477654333,0.6584443148618263,0.1018099547511312,0.00113,0.0017383712012459637,0.2031888492533263,1.4774596906877262,7542.0,31.941129673826573
berlin52,EUC_2D,52,Insertion,9004.0,22.0,0.026075568018689457,1716.0,575.2511312217194,339.858223227572,0.5907997477654333,0.6584443148618263,0.1018099547511312,0.00113,0.0017383712012459637,0.2031888492533263,1.4774596906877262,7542.0,19.384778573322727
berlin52,EUC_2D,52,CH,8560.0,26.0,0.026075568018689457,1716.0,575.2511312217194,339.858223227572,0.5907997477654333,0.6584443148618263,0.1018099547511312,0.00113,0.0017383712012459637,0.2031888492533263,1.4774596906877262,7542.0,13.497745955979845
bier127,EUC_2D,127,NN,135737.0,12.0,0.02342265722575635,19441.0,4952.469691288589,3082.0494306185083,0.6223257531570245,0.9629258039555396,0.1003624546931633,0.000335,0.00020191945884272716,0.150574679284719,1.433246045657086,118282.0,14.757105899460612
bier127,EUC_2D,127,Greedy,141339.0,11.0,0.02342265722575635,19441.0,4952.469691288589,3082.0494306185083,0.6223257531570245,0.9629258039555396,0.1003624546931633,0.000335,0.00020191945884272716,0.150574679284719,1.433246045657086,118282.0,19.49324495696725
bier127,EUC_2D,127,Insertion,140647.0,337.0,0.02342265722575635,19441.0,4952.469691288589,3082.0494306185083,0.6223257531570245,0.9629258039555396,0.1003624546931633,0.000335,0.00020191945884272716,0.150574679284719,1.433246045657086,118282.0,18.90820243147732
bier127,EUC_2D,127,CH,133311.0,275.0,0.02342265722575635,19441.0,4952.469691288589,3082.0494306185083,0.6223257531570245,0.9629258039555396,0.1003624546931633,0.000335,0.00020191945884272716,0.150574679284719,1.433246045657086,118282.0,12.7060753115436
ch130,EUC_2D,130,NN,7579.0,14.0,0.002807219827910896,939.0,356.22432915921286,169.98182828862176,0.4771763587563642,0.2428575525544667,0.1010137149672033,0.000695,0.002807219827910896,0.1115545971614437,1.4670925280681375,6110.0,24.04255319148936
ch130,EUC_2D,130,Greedy,7223.0,10.0,0.002807219827910896,939.0,356.22432915921286,169.98182828862176,0.4771763587563642,0.2428575525544667,0.1010137149672033,0.000695,0.002807219827910896,0.1115545971614437,1.4670925280681375,6110.0,18.21603927986907
ch130,EUC_2D,130,Insertion,7301.0,363.0,0.002807219827910896,939.0,356.22432915921286,169.98182828862176,0.4771763587563642,0.2428575525544667,0.1010137149672033,0.000695,0.002807219827910896,0.1115545971614437,1.4670925280681375,6110.0,19.49263502454992
ch130,EUC_2D,130,CH,6841.0,188.0,0.002807219827910896,939.0,356.22432915921286,169.98182828862176,0.4771763587563642,0.2428575525544667,0.1010137149672033,0.000695,0.002807219827910896,0.1115545971614437,1.4670925280681375,6110.0,11.963993453355156
ch150,EUC_2D,150,NN,8191.0,21.0,0.0055662425198168206,849.0,359.3088143176733,169.3461755814188,0.4713109415448291,0.1725520802184711,0.1004921700223713,0.00079,0.0027831212599084103,0.1090612451049442,1.393501190881252,6528.0,25.4748774509804
ch150,EUC_2D,150,Greedy,7809.0,15.0,0.0055662425198168206,849.0,359.3088143176733,169.3461755814188,0.4713109415448291,0.1725520802184711,0.1004921700223713,0.00079,0.0027831212599084103,0.1090612451049442,1.393501190881252,6528.0,19.62316176470588
ch150,EUC_2D,150,Insertion,7998.0,538.0,0.0055662425198168206,849.0,359.3088143176733,169.3461755814188,0.4713109415448291,0.1725520802184711,0.1004921700223713,0.00079,0.0027831212599084103,0.1090612451049442,1.393501190881252,6528.0,22.518382352941178
ch150,EUC_2D,150,CH,7182.0,197.0,0.0055662425198168206,849.0,359.3088143176733,169.3461755814188,0.4713109415448291,0.1725520802184711,0.1004921700223713,0.00079,0.0027831212599084103,0.1090612451049442,1.393501190881252,6528.0,10.018382352941178
d1291,EUC_2D,1291,NN,60214.0,977.0,0.01866614282494694,4929.0,1339.32329964753,676.9936029102507,0.5054743713399261,0.4317158630904024,0.1001663274067936,0.0005,0.0007466457129978775,0.0271423934598786,1.2830325371289766,50801.0,18.529162811755672
d1291,EUC_2D,1291,Greedy,61253.0,2561.0,0.01866614282494694,4929.0,1339.32329964753,676.9936029102507,0.5054743713399261,0.4317158630904024,0.1001663274067936,0.0005,0.0007466457129978775,0.0271423934598786,1.2830325371289766,50801.0,20.574398141768864
d1291,EUC_2D,1291,Insertion,59157.0,431036.0,0.01866614282494694,4929.0,1339.32329964753,676.9936029102507,0.5054743713399261,0.4317158630904024,0.1001663274067936,0.0005,0.0007466457129978775,0.0271423934598786,1.2830325371289766,50801.0,16.448495108364007
d1291,EUC_2D,1291,CH,56959.0,34766.0,0.01866614282494694,4929.0,1339.32329964753,676.9936029102507,0.5054743713399261,0.4317158630904024,0.1001663274067936,0.0005,0.0007466457129978775,0.0271423934598786,1.2830325371289766,50801.0,12.121808625814452
d1655,EUC_2D,1655,NN,74033.0,1062.0,0.019034340580225715,4786.0,1313.415607681826,638.5006474599055,0.4861375513778589,0.2176044683744175,0.1001640260542053,0.000495,0.0007613736232090286,0.0260141355115413,1.3092294905123172,62128.0,19.16205253669843
d1655,EUC_2D,1655,Greedy,72502.0,3572.0,0.019034340580225715,4786.0,1313.415607681826,638.5006474599055,0.4861375513778589,0.2176044683744175,0.1001640260542053,0.000495,0.0007613736232090286,0.0260141355115413,1.3092294905123172,62128.0,16.697785217615248
d1655,EUC_2D,1655,Insertion,72453.0,910736.0,0.019034340580225715,4786.0,1313.415607681826,638.5006474599055,0.4861375513778589,0.2176044683744175,0.1001640260542053,0.000495,0.0007613736232090286,0.0260141355115413,1.3092294905123172,62128.0,16.618915786762813
d1655,EUC_2D,1655,CH,69694.0,117471.0,0.019034340580225715,4786.0,1313.415607681826,638.5006474599055,0.4861375513778589,0.2176044683744175,0.1001640260542053,0.000495,0.0007613736232090286,0.0260141355115413,1.3092294905123172,62128.0,12.178083955704352
d198,EUC_2D,198,NN,18240.0,27.0,0.023889192924049698,4260.0,962.778444341896,805.393171676629,0.836530124256316,0.9579931928010464,0.1032661641798697,0.00085,0.0010386605619152043,0.0615747357361649,1.553927415232578,15780.0,15.5893536121673
d198,EUC_2D,198,Greedy,19147.0,46.0,0.023889192924049698,4260.0,962.778444341896,805.393171676629,0.836530124256316,0.9579931928010464,0.1032661641798697,0.00085,0.0010386605619152043,0.0615747357361649,1.553927415232578,15780.0,21.33713561470216
d198,EUC_2D,198,Insertion,17581.0,2517.0,0.023889192924049698,4260.0,962.778444341896,805.393171676629,0.836530124256316,0.9579931928010464,0.1032661641798697,0.00085,0.0010386605619152043,0.0615747357361649,1.553927415232578,15780.0,11.41318124207858
d198,EUC_2D,198,CH,17306.0,541.0,0.023889192924049698,4260.0,962.778444341896,805.393171676629,0.836530124256316,0.9579931928010464,0.1032661641798697,0.00085,0.0010386605619152043,0.0615747357361649,1.553927415232578,15780.0,9.670468948035488
d2103,EUC_2D,2103,NN,86653.0,1682.0,0.012937605455993267,5204.0,1545.8811190393135,751.3083890576986,0.4860065756703197,0.1877815169159276,0.1003432638706971,0.00046,0.0006468802727996634,0.0234793238721213,1.1352268409951396,80450.0,7.710379117464264
d2103,EUC_2D,2103,Greedy,95124.0,7156.0,0.012937605455993267,5204.0,1545.8811190393135,751.3083890576986,0.4860065756703197,0.1877815169159276,0.1003432638706971,0.00046,0.0006468802727996634,0.0234793238721213,1.1352268409951396,80450.0,18.23990055935364
d2103,EUC_2D,2103,Insertion,1.0,1000000.0,0.012937605455993267,5204.0,1545.8811190393135,751.3083890576986,0.4860065756703197,0.1877815169159276,0.1003432638706971,0.00046,0.0006468802727996634,0.0234793238721213,1.1352268409951396,80450.0,
d2103,EUC_2D,2103,CH,84208.0,52777.0,0.012937605455993267,5204.0,1545.8811190393135,751.3083890576986,0.4860065756703197,0.1877815169159276,0.1003432638706971,0.00046,0.0006468802727996634,0.0234793238721213,1.1352268409951396,80450.0,4.671224362958359
